"kategori_id","produk_id","created_at","updated_at","deleted_at"
"1","8","2023-07-01 17:18:09","2023-07-01 17:18:09",NULL
"1","9","2023-07-01 17:52:31","2023-07-01 17:52:31",NULL
"1","10","2023-07-01 17:54:58","2023-07-01 17:54:58",NULL
"1","11","2023-07-06 15:19:10","2023-07-06 15:19:10",NULL
"1","14","2023-07-02 13:16:24","2023-07-06 04:19:35","2023-07-06 04:19:35"
"1","16","2023-07-02 13:21:28","2023-07-06 04:16:33","2023-07-06 04:16:33"
"2","8","2023-07-01 17:18:09","2023-07-01 17:18:09",NULL
"2","16","2023-07-02 13:21:28","2023-07-06 04:16:33","2023-07-06 04:16:33"
"3","10","2023-07-01 17:54:58","2023-07-01 17:54:58",NULL
"3","14","2023-07-02 13:16:24","2023-07-06 04:19:35","2023-07-06 04:19:35"
